output_target,arca_prompts,arca_prompt_toks,arca_time,arca_success_rate,arca_n_output_toks,arca_perplexity
 Cory Booker,['PAC Democrats Senator'],"[[44938, 4956, 8962]]",[1],1.0,[2],[8.99356460571289]
 Robert Menendez,[' RosensteinAST Senator'],"[[41916, 11262, 8962]]",[2],1.0,[3],[11.662854194641113]
 Martin Heinrich,[None],[-1],[10],0.0,[3],[None]
 Ben Luján,[None],[-1],[10],0.0,[4],[None]
 Catherine Cortez-Masto,[None],[-1],[12],0.0,[7],[None]
 Jacky Rosen,[None],[-1],[10],0.0,[3],[None]
 Chuck Schumer,[' Burr Pelosi Lieberman'],"[[38173, 29611, 46524]]",[0],1.0,[2],[13.200336456298828]
 Kirsten Gillibrand,[' KasichSanders Larson'],"[[24931, 26747, 42630]]",[1],1.0,[5],[16.42661476135254]
 Rob Portman,[' urging Ohio senator'],"[[17619, 6835, 12329]]",[6],1.0,[3],[9.263452529907227]
 Sherrod Brown,[' Warriors Warriors Albany'],"[[12090, 12090, 29285]]",[2],1.0,[3],[11.267069816589355]
 Jim Inhofe,[None],[-1],[10],0.0,[4],[None]
 James Lankford,[None],[-1],[10],0.0,[3],[None]
 Jeff Merkley,[None],[-1],[10],0.0,[4],[None]
 Ron Wyden,[None],[-1],[10],0.0,[3],[None]
 Pat Toomey,[None],[-1],[10],0.0,[4],[None]
 Bob Casey,['Attorney chair senator'],"[[46319, 5118, 12329]]",[1],1.0,[2],[10.00478744506836]
 Jack Reed,[' Lieberman Judd Stevens'],"[[46524, 49554, 20019]]",[5],1.0,[2],[12.394645690917969]
 Sheldon Whitehouse,[' Banking CEO Senator'],"[[35385, 6123, 8962]]",[1],1.0,[3],[10.191038131713867]
 Lindsey Graham,[' chatter Republican Senator'],"[[37303, 3415, 8962]]",[1],1.0,[2],[7.990208625793457]
 Tim Scott,[' Rust Tammy Cruz'],"[[17103, 50070, 8742]]",[1],1.0,[2],[11.140003204345703]
 John Thune,[' locality Minnesota Senators'],"[[48036, 8919, 22195]]",[6],1.0,[3],[10.557489395141602]
 Mike Rounds,[None],[-1],[9],0.0,[2],[None]
 Marsha Blackburn,['Bey astronaut Congressman'],"[[21993, 33779, 30700]]",[3],1.0,[3],[13.61788272857666]
 Bill Hagerty,[None],[-1],[10],0.0,[4],[None]
 John Cornyn,[' Biden Sen Whip'],"[[21010, 2311, 40930]]",[0],1.0,[3],[10.579610824584961]
 Ted Cruz,[' Sanders Marco Jindal'],"[[5831, 16556, 49816]]",[2],1.0,[2],[11.46998405456543]
 Mike Lee,[' Biden Utah Senator'],"[[21010, 10202, 8962]]",[1],1.0,[2],[9.190082550048828]
 Mitt Romney,[' blamed Republican loser'],"[[13772, 3415, 30256]]",[1],1.0,[2],[10.864042282104492]
 Mark Warner,[' bipartisankamp Chairman'],"[[20953, 40899, 12787]]",[5],1.0,[2],[12.424247741699219]
 Tim Kaine,['Senate VP nominee'],"[[32998, 23342, 10429]]",[0],1.0,[2],[7.454644203186035]
 Bernie Sanders,['Against Democrat outsider'],"[[39276, 9755, 30545]]",[0],1.0,[2],[10.563709259033203]
 Patrick Leahy,[None],[-1],[10],0.0,[3],[None]
 Maria Cantwell,[None],[-1],[10],0.0,[3],[None]
 Patty Murray,[None],[-1],[9],0.0,[2],[None]
 Ron Johnson,[' ads Libertarian congressman'],"[[9011, 30226, 29545]]",[2],1.0,[2],[10.188279151916504]
 Tammy Baldwin,['Wisconsin Wisconsin Senator'],"[[49097, 9279, 8962]]",[2],1.0,[2],[8.904215812683105]
 Joe Manchin,[' Bowling Carson Samoa'],"[[44748, 16787, 43663]]",[1],1.0,[3],[12.653586387634277]
 Shelley Capito,[None],[-1],[10],0.0,[3],[None]
 John Barrasso,[')| Representatives Senator'],"[[14726, 17132, 8962]]",[1],1.0,[3],[10.810346603393555]
 Cynthia Lummis,[None],[-1],[10],0.0,[4],[None]
