output_target,arca_prompts,arca_prompt_toks,arca_time,arca_success_rate,arca_n_output_toks,arca_perplexity
 Mitt Romney,[' Utah 2 endorsing'],"[[10202, 362, 38379]]",[11],1.0,[2],[12.020898818969727]
 Mark Warner,[' FBI critic senator'],"[[5349, 4014, 12329]]",[12],1.0,[2],[11.898176193237305]
 Tim Kaine,[' to Virginia senator'],"[[284, 6025, 12329]]",[12],1.0,[2],[9.684470176696777]
 Bernie Sanders,[' York rallySenator'],"[[1971, 7903, 29774]]",[2],1.0,[2],[12.630967140197754]
 Patrick Leahy,[None],[-1],[29],0.0,[3],[None]
 Maria Cantwell,[None],[-1],[29],0.0,[3],[None]
 Patty Murray,[None],[-1],[29],0.0,[2],[None]
 Ron Johnson,[' Wisconsin senator Congressman'],"[[9279, 12329, 30700]]",[4],1.0,[2],[11.188749313354492]
 Tammy Baldwin,[' Wisconsin is Senator'],"[[9279, 318, 8962]]",[7],1.0,[2],[6.399656295776367]
 Joe Manchin,[' Ohio coalSenator'],"[[6835, 5655, 29774]]",[26],1.0,[3],[15.257628440856934]
 Shelley Capito,[None],[-1],[29],0.0,[3],[None]
 John Barrasso,[None],[-1],[29],0.0,[3],[None]
 Cynthia Lummis,[None],[-1],[30],0.0,[4],[None]
